City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,ushuaia,-54.8,-68.3,10.81,58,20,4.12,AR,1729134993
65,yellowknife,62.456,-114.3525,4.12,100,100,2.06,CA,1729135070
66,mormugao,15.4,73.8,24.59,94,100,3.09,IN,1729135071
67,caleta de carquin,-11.0925,-77.6267,17.58,87,80,4.5,PE,1729135072
68,wynyard,-41.0,145.7167,16.9,79,95,7.15,AU,1729135073
69,oltinko'l,40.8011,72.1634,10.43,49,2,0.5,UZ,1729135074
70,buka,40.8108,69.1986,7.02,52,0,0.44,UZ,1729135075
71,port elizabeth,-33.918,25.5701,19.06,77,100,1.54,ZA,1729134964
72,tateyama,34.9833,139.8667,24.5,77,48,4.92,JP,1729135079
73,bethel,41.3712,-73.414,6.98,71,0,0.89,US,1729135080
74,torghay,49.6339,63.4981,2.73,86,46,2.77,KZ,1729135081
75,alofi,-19.0595,-169.9187,26.94,65,40,5.14,NU,1729135082
76,suva,-18.1416,178.4415,27.71,74,75,2.06,FJ,1729135083
77,fort mcmurray,56.7268,-111.381,7.77,93,100,2.57,CA,1729135084
78,aliveri,38.4167,24.0333,18.01,68,97,7.79,GR,1729135085
79,wailua homesteads,22.0669,-159.378,27.44,79,20,7.72,US,1729135086
80,ust-nera,64.5667,143.2,-11.08,82,83,2.79,RU,1729135087
81,olonkinbyen,70.9221,-8.7187,1.34,99,100,4.67,SJ,1729135089
82,port alfred,-33.5906,26.891,15.66,89,99,3.64,ZA,1729135090
83,aykhal,66.0,111.5,-13.12,94,96,5.71,RU,1729135091
84,cockburn town,21.4612,-71.1419,29.41,69,6,7.88,TC,1729135092
85,manokwari,-0.8667,134.0833,28.61,71,72,4.94,ID,1729135093
86,maymana,35.9214,64.7836,13.41,31,2,0.85,AF,1729135094
87,port mathurin,-19.6833,63.4167,23.17,79,97,5.0,MU,1729135095
88,atafu village,-8.5421,-172.5159,28.26,71,34,5.6,TK,1729135097
89,vadso,70.0744,29.7487,2.09,87,75,2.57,NO,1729135098
90,constantia,44.1833,28.65,7.61,75,7,7.99,RO,1729135099
91,luderitz,-26.6481,15.1594,11.97,93,1,3.52,NA,1729134853
92,harnosand,62.6323,17.9379,0.0,79,99,8.77,SE,1729135101
93,hasaki,35.7333,140.8333,23.32,75,83,6.81,JP,1729135102
94,mapastepec,15.4333,-92.9,23.82,91,43,1.61,MX,1729135103
95,kainantu,-6.2887,145.8655,20.84,85,99,1.06,PG,1729135104
96,pitimbu,-7.4706,-34.8086,24.77,75,40,5.54,BR,1729135105
97,kaka,37.3482,59.6143,11.63,29,4,2.61,TM,1729135106
98,west island,-12.1568,96.8225,28.99,74,20,5.66,CC,1729135108
99,hauterive,46.0901,3.4459,15.92,92,63,2.34,FR,1729135109
100,tiksi,71.6872,128.8694,-11.8,87,98,2.31,RU,1729135110
101,udachny,66.4167,112.4,-12.27,91,94,4.57,RU,1729135111
102,khandyga,62.6667,135.6,-8.87,67,11,1.73,RU,1729135112
103,ribeira grande,38.5167,-28.7,17.1,79,27,1.79,PT,1729135113
104,isafjordur,66.0755,-23.124,-1.52,83,99,3.55,IS,1729135114
105,lumphat,13.4878,106.9816,29.05,75,64,0.71,KH,1729135115
106,thompson,55.7435,-97.8558,7.09,76,75,2.57,CA,1729135116
107,testour,36.5513,9.4431,22.88,62,61,1.6,TN,1729135119
108,urangan,-25.3,152.9,22.31,66,0,4.03,AU,1729135120
109,chonchi,-42.6128,-73.8092,10.62,99,100,1.72,CL,1729135100
110,afaahiti,-17.75,-149.2833,24.13,70,43,1.09,PF,1729135122
111,margaret river,-33.95,115.0667,16.09,56,12,4.47,AU,1729135123
112,vorkuta,67.5,64.0,-0.18,98,100,6.52,RU,1729135124
113,ceeldheer,3.8488,47.1806,25.09,86,66,6.2,SO,1729135125
114,weno,7.4515,151.8468,28.97,84,75,2.57,FM,1729135126
115,bardai,11.65,7.2333,22.12,59,100,3.36,NG,1729135127
116,mount gambier,-37.8333,140.7667,19.49,95,100,1.36,AU,1729135129
117,sittwe,20.15,92.9,28.03,72,7,1.58,MM,1729135134
118,hamilton,39.1834,-84.5333,7.47,83,20,1.34,US,1729135097
119,khanty-mansiysk,61.0042,69.0019,-1.94,64,0,2.0,RU,1729135136
120,holualoa,19.6228,-155.9522,26.91,83,20,4.12,US,1729135137
121,paradip garh,20.3167,86.6167,29.27,74,86,2.37,IN,1729135138
122,livny,52.4253,37.6069,5.17,89,100,5.96,RU,1729135139
123,kawalu,-7.3817,108.2082,27.95,48,99,2.43,ID,1729135140
124,happy valley-goose bay,53.3168,-60.3315,1.17,80,100,4.12,CA,1729135141
125,puerto ayora,-0.7393,-90.3518,20.31,99,79,2.68,EC,1729135142
126,san patricio,28.017,-97.5169,20.97,59,3,6.22,US,1729135144
127,kununurra,-15.7667,128.7333,35.99,41,75,2.06,AU,1729135145
128,mahina,-17.5065,-149.489,26.87,69,20,5.14,PF,1729135146
129,klyuchi,52.2667,79.1667,2.33,55,7,1.14,RU,1729135147
130,nemuro,43.3236,145.575,13.47,77,100,4.53,JP,1729135148
131,acarau,-2.8856,-40.12,25.51,79,11,4.4,BR,1729135149
132,uturoa,-16.7333,-151.4333,25.4,70,10,1.54,PF,1729135150
133,puerto aysen,-45.4,-72.7,8.62,98,98,1.39,CL,1729135151
134,hengchun,22.0042,120.7439,28.8,74,91,5.09,TW,1729135050
135,leninskoye,41.7589,69.3864,6.28,45,0,1.45,KZ,1729135153
136,kem',64.9555,34.5793,5.43,92,100,3.23,RU,1729135155
137,ione,38.3527,-120.9327,18.75,100,0,0.0,US,1729135156
138,badger,64.8,-147.5333,-1.68,74,100,3.09,US,1729135157
